,I1L_valid,I2L_valid,I1H [nA],I1L [10pA],V1 [10nV],V2 [10nV],I2H [nA],I2L [10pA]
1615674574.864895773,1,1,-48676,648446,-1232371,25801093,126999,1260
1615674575.868426419,1,1,-51016,440973,-1234829,25801093,124699,-185911
1615674576.871952546,1,1,-49688,554629,-1233231,25802195,123407,-50575
1615674577.875492912,1,1,-47347,829122,-1232125,25803419,128700,232739
1615674578.879021621,1,1,-49087,669986,-1233354,25801216,124825,21400
1615674579.882566409,1,1,-51269,378422,-1234829,25799624,123533,-292841
1615674580.886096087,1,1,-52028,543728,-1232371,25801950,123943,-59629
1615674581.889617641,1,1,-46398,790074,-1231511,25802929,128354,221443
1615674582.893158631,1,1,-45260,1015302,-1230774,25803541,127849,274751
1615674583.896693867,1,1,-49245,558573,-1234337,25800481,123848,-105144
1615674584.900232674,1,1,-49624,517614,-1232985,25801950,123596,-87316
1615674585.903756661,1,1,-48897,588244,-1233968,25801705,123943,-29981
1615674586.907298410,1,1,-45513,767957,-1232002,25802807,127629,143338
1615674587.910828430,1,1,-49972,652495,-1232740,25801583,122683,7670
1615674588.914396390,1,1,-51301,395861,-1234091,25800604,121328,-241495
1615674589.917893407,1,1,-47822,548723,-1233108,25802440,124573,-53867
1615674590.921427029,1,1,-46588,833504,-1232125,25804398,128007,247064
1615674591.924952303,1,1,-48517,678311,-1232125,25801460,126148,30366
1615674592.928478733,1,1,-49719,396842,-1233477,25800604,124793,-280407
1615674593.932017883,1,1,-55539,50334,-1235074,25801093,121422,-510309
1615674594.935551209,1,1,-45671,683446,-1231757,25802929,126306,99347
1615674595.939086408,1,1,-47885,722476,-1232248,25802562,126589,82465
1615674596.942606929,1,1,-49213,635091,-1231511,25802440,126148,-12013
1615674597.946129682,1,1,-49624,473957,-1233477,25801338,124163,-142462
1615674598.949674647,1,1,-50383,553700,-1233354,25803908,125802,-50925
1615674599.953213088,1,1,-46525,816661,-1231265,25803419,127377,212267
1615674600.956755440,1,1,-47474,662380,-1232740,25802195,126715,14990
1615674601.960285185,1,1,-50004,378598,-1234337,25800481,122367,-283314
1615674602.963815790,1,1,-46556,544044,-1232248,25803419,126999,-59401
1615674603.967343535,1,1,-46715,806251,-1229668,25805622,130212,239096
1615674604.970884146,1,1,-47758,630430,-1232248,25801828,122084,27389
1615674605.974409904,1,1,-46335,584108,-1232371,25802440,125424,-71905
1615674606.977943293,1,1,-47663,501333,-1232863,25802440,121926,-106947
1615674607.981478385,1,1,-47822,555506,-1232002,25802807,127660,-48211
1615674608.985011692,1,1,-47885,817573,-1231142,25804031,129488,209360
1615674609.988540466,1,1,-47695,664781,-1231511,25803541,125424,18107
1615674610.992083548,1,1,-50795,374409,-1233477,25801828,124510,-290424
1615674611.995602538,1,1,-47315,540433,-1231879,25803908,128795,-60032
1615674612.999136784,1,1,-46588,742964,-1231019,25804765,128984,170237
1615674614.002676892,1,1,-46746,718270,-1230774,25803296,127062,77527
1615674615.006199761,1,1,-45829,639596,-1231879,25802562,126810,-7372
1615674616.009744554,1,1,-48834,443935,-1232740,25799012,110805,-1378904
1615674617.013268147,1,1,-49087,549003,-1231142,25802684,126904,-54918
1615674618.016809441,1,1,-44026,829087,-1230896,25804153,130244,236451
1615674619.020347500,1,1,-46999,674823,-1230282,25802684,124510,27424
